epoch,avg_reward,avg_pipes,max_pipes,policy_loss,value_loss,entropy,steps,seconds
162,1.175,0.000,0,0.0041,0.7388,0.4555,453,302.3
163,1.287,0.000,0,-0.0096,0.7001,0.4338,458,304.8
164,0.512,0.125,1,-0.0063,0.9526,0.4196,422,307.2
165,2.000,0.000,0,0.0285,0.5528,0.4112,486,310.0
166,-2.550,0.000,0,-0.0454,0.9890,0.4096,303,311.8
167,-0.425,0.000,0,0.0710,0.7940,0.4198,388,313.9
168,-0.088,0.000,0,0.0968,0.6757,0.4343,401,316.1
169,-1.188,0.000,0,-0.0445,0.8390,0.4628,359,318.1
170,-3.038,0.000,0,-0.0941,1.0675,0.4855,285,319.8
171,-1.125,0.000,0,0.0377,0.8128,0.4888,360,321.9
172,3.600,0.000,0,0.0984,0.5632,0.4922,549,324.9
173,-1.650,0.000,0,-0.0915,0.9212,0.5111,340,326.9
174,0.300,0.125,1,0.0550,1.0091,0.4958,412,329.3
175,-0.575,0.000,0,-0.0583,0.7743,0.4976,383,331.4
176,-1.863,0.000,0,-0.1199,0.9302,0.4913,331,333.2
177,-4.100,0.000,0,-0.1403,0.9922,0.4829,241,334.6
178,1.312,0.125,1,-0.0416,0.9340,0.4706,454,337.1
179,2.412,0.125,1,0.0123,0.8555,0.4635,497,339.8
180,-0.750,0.125,1,-0.0136,0.9029,0.4657,371,341.9
181,1.725,0.000,0,0.0003,0.6892,0.4606,475,344.6
182,0.500,0.125,1,0.0613,0.9894,0.4553,421,347.0
183,3.462,0.250,1,0.0973,0.7989,0.4522,534,350.0
184,-1.013,0.000,0,-0.0451,0.8394,0.4601,366,352.2
185,0.450,0.250,1,0.0238,1.0073,0.4531,414,354.5
186,0.937,0.000,0,0.0505,0.7405,0.4487,444,357.0
187,-0.975,0.000,0,-0.0378,0.8511,0.4474,366,359.1
188,0.712,0.000,0,-0.0276,0.7114,0.4408,435,361.6
189,-2.775,0.000,0,-0.0489,0.8922,0.4312,294,363.2
190,-4.462,0.000,0,-0.0207,0.9277,0.4260,228,364.5
191,-2.312,0.000,0,-0.0066,0.7771,0.4239,313,366.3
192,-2.038,0.000,0,0.0957,0.8982,0.4181,324,368.1
193,2.575,0.000,0,0.1622,0.6269,0.4198,508,370.9
194,-1.250,0.000,0,0.0592,0.7883,0.4380,356,372.9
195,-0.113,0.000,0,0.0169,0.8530,0.4402,401,375.1
196,1.550,0.125,1,0.0631,0.9516,0.4449,463,377.7
197,-0.750,0.000,0,-0.0193,0.7655,0.4537,374,379.7
198,-0.025,0.125,1,-0.0236,0.8595,0.4512,400,382.0
199,0.037,0.000,0,-0.0162,0.7961,0.4498,407,384.3
200,-1.575,0.125,1,-0.0136,1.0191,0.4491,338,386.2
201,1.787,0.000,0,-0.0188,0.6533,0.4648,477,388.8
202,-0.488,0.000,0,-0.1522,0.8433,0.4834,386,391.0
203,-1.050,0.000,0,-0.1285,0.8709,0.4845,364,393.0
204,1.050,0.375,2,0.0157,1.2529,0.4784,433,395.3
205,0.612,0.000,0,-0.0685,0.7528,0.4862,429,397.8
206,-1.588,0.000,0,-0.0239,0.8402,0.4809,341,399.9
207,-0.088,0.125,1,0.0200,1.0799,0.4721,398,402.1
208,-2.700,0.000,0,-0.0975,0.9032,0.4645,297,403.8
209,-0.450,0.000,0,-0.0104,0.8283,0.4640,388,406.0
210,2.637,0.125,1,0.0094,0.7095,0.4624,506,408.8
211,-0.088,0.125,1,0.0126,1.0016,0.4553,397,411.1
212,1.262,0.000,0,0.0322,0.7478,0.4473,456,413.6
213,0.575,0.000,0,0.0109,0.8033,0.4340,429,416.0
214,0.337,0.000,0,0.0170,0.7691,0.4187,419,418.3
215,-1.863,0.000,0,0.0546,0.8243,0.4034,331,420.2
216,-0.000,0.250,1,0.0490,0.9567,0.4065,396,422.5
217,2.162,0.125,1,0.0867,0.6498,0.4115,487,425.2
218,0.612,0.000,0,0.0401,0.7203,0.4126,429,427.6
219,-0.913,0.000,0,-0.0654,0.7656,0.4213,369,429.6
220,-1.250,0.125,1,-0.0440,0.9626,0.4075,351,431.7
221,-1.900,0.000,0,0.0068,0.9056,0.4138,331,433.6
222,-1.575,0.000,0,-0.0382,0.8325,0.4267,342,435.5
223,-0.013,0.000,0,0.0115,0.7785,0.4437,405,437.8
224,1.087,0.000,0,0.0101,0.6735,0.4469,449,440.4
225,-1.200,0.125,1,0.0025,0.9799,0.4545,353,442.5
226,0.737,0.000,0,-0.0122,0.5771,0.4595,436,444.9
227,-0.838,0.000,0,0.0538,0.8335,0.4519,373,447.0
228,-0.363,0.000,0,0.0282,0.8517,0.4451,391,449.1
229,2.725,0.000,0,0.0691,0.5166,0.4454,513,452.0
230,-0.200,0.000,0,-0.0214,0.7823,0.4491,397,454.2
231,0.437,0.000,0,-0.0783,0.7417,0.4424,423,456.7
232,1.637,0.125,1,0.0250,0.9715,0.4275,466,459.3
233,-3.687,0.000,0,-0.1196,1.0156,0.4365,258,460.7
234,-0.050,0.125,1,-0.0785,0.9961,0.4468,398,462.9
235,-2.425,0.125,1,-0.0513,1.0889,0.4626,304,464.6
236,-3.913,0.000,0,-0.1486,1.0619,0.4906,249,466.0
237,-0.463,0.000,0,-0.0115,0.7759,0.4985,387,468.1
238,-1.038,0.125,1,-0.0152,0.9623,0.5095,359,470.1
239,1.700,0.250,2,0.0381,1.0048,0.5133,464,472.7
240,-2.025,0.000,0,-0.0815,0.8854,0.5320,326,474.6
241,-1.300,0.000,0,-0.0239,0.8545,0.5309,354,476.7
242,-0.150,0.000,0,-0.0489,0.8132,0.5272,401,478.9
243,-3.113,0.000,0,-0.0473,0.9469,0.5206,281,480.4
244,-0.775,0.000,0,0.0200,0.8424,0.5016,374,482.7
245,-0.513,0.125,1,0.0125,0.9249,0.4863,380,485.0
246,-1.688,0.000,0,-0.0139,0.8530,0.4682,339,486.9
247,1.912,0.000,0,0.0174,0.7306,0.4515,482,489.6
248,1.037,0.125,1,0.0706,0.7695,0.4235,443,492.1
249,-4.275,0.000,0,-0.0676,0.9702,0.4070,235,493.5
250,-0.600,0.000,0,0.0951,0.8231,0.3842,380,495.6
251,-0.338,0.000,0,0.1138,0.7568,0.3686,392,499.4
252,-5.112,0.000,0,0.0199,0.9500,0.3684,201,500.6
253,-3.350,0.000,0,-0.0261,0.8981,0.3763,272,502.2
254,-2.150,0.125,1,0.1234,1.0423,0.3852,315,504.1
255,-1.425,0.000,0,0.0979,0.8256,0.4034,348,506.1
256,3.712,0.000,0,0.0912,0.5565,0.4153,554,509.3
257,-1.488,0.000,0,-0.0032,0.8470,0.4415,346,511.5
258,-1.200,0.000,0,0.0129,0.8693,0.4443,358,513.6
259,0.437,0.125,1,-0.0031,0.8258,0.4413,418,516.2
260,-0.450,0.125,1,-0.0118,0.8751,0.4409,382,518.5
261,-2.538,0.000,0,-0.0698,0.9364,0.4515,303,520.3
262,-0.600,0.125,1,-0.0281,1.1400,0.4426,377,522.6
263,-0.088,0.000,0,-0.0301,0.8148,0.4374,403,525.1
264,1.600,0.125,1,-0.0257,0.7458,0.4387,465,528.0
265,-2.113,0.000,0,-0.0185,0.9404,0.4342,321,530.0
266,0.150,0.000,0,-0.0205,0.7224,0.4419,412,532.5
267,-2.425,0.000,0,-0.0259,0.9480,0.4501,309,534.4
268,-1.588,0.000,0,-0.1144,0.9086,0.4587,343,536.4
269,0.287,0.000,0,-0.0530,0.7860,0.4611,418,538.9
270,-1.900,0.000,0,0.0003,0.8693,0.4636,330,540.8
271,0.587,0.000,0,-0.0077,0.7230,0.4614,430,543.5
272,-1.225,0.000,0,-0.0832,0.8331,0.4584,357,545.6
273,-1.625,0.000,0,0.0336,0.7833,0.4427,341,547.6
274,1.412,0.250,1,0.0617,0.9613,0.4303,454,550.3
275,-0.188,0.000,0,0.0397,0.8312,0.4294,398,552.5
276,-1.550,0.000,0,0.0919,0.8434,0.4249,344,554.5
277,-1.975,0.000,0,0.0939,0.9111,0.4162,326,556.3
278,0.225,0.000,0,0.0584,0.7125,0.4288,414,558.6
279,-1.175,0.125,1,0.0103,0.9965,0.4418,354,560.6
280,1.937,0.000,0,0.0275,0.6463,0.4501,484,563.4
281,-2.675,0.000,0,-0.0734,1.0685,0.4603,299,565.2
282,-0.125,0.000,0,-0.0370,0.7449,0.4677,402,567.7
283,-0.963,0.000,0,-0.0687,0.8345,0.4696,368,569.9
284,-0.900,0.000,0,-0.0438,0.8153,0.4713,369,572.2
285,-0.350,0.125,1,-0.0538,1.0663,0.4675,386,574.5
286,-2.050,0.000,0,-0.1189,0.8230,0.4678,326,576.4
287,-1.238,0.125,1,-0.0482,1.1314,0.4691,351,578.7
288,1.937,0.000,0,-0.0168,0.6588,0.4590,483,581.5
289,-1.750,0.000,0,-0.0485,0.8748,0.4503,337,583.5
290,-1.750,0.000,0,-0.0884,0.8871,0.4316,335,585.6
291,-5.050,0.000,0,-0.0498,1.0078,0.4140,203,586.9
292,-3.575,0.000,0,-0.0088,0.9680,0.4081,262,588.4
293,-3.425,0.000,0,-0.0421,0.8759,0.4132,269,589.9
294,-1.625,0.125,1,-0.0228,0.9524,0.4299,336,591.8
295,-0.138,0.000,0,-0.0250,0.7975,0.4317,401,594.0
